country_code,country,Total_cases,Total_deaths,stringency,Population,gdppc,hdi
CHL,Chile,51268034,1283880,52.66180272,19116209,22767.037,0.553397959
CHN,China,21632319,1066939,66.51653061,1439323774,15308.712,0.693170068
COL,Colombia,60543682,1936134,59.62935374,50882884,13254.949,0.536112245
COG,Congo,473368,9298,49.08394558,5518092,4881.406,0.406061224
CRI,Costa Rica,4631835,50352,48.5694898,5094114,15524.995,0.545537415
CIV,Cote d'Ivoire,2132883,14220,36.48993197,26378275,3601.006,0.329673469
HRV,Croatia,1314031,28757,33.68255102,4105268,22669.797,0.570959184
CYP,Cyprus,236673,3735,46.30751701,875899,32415.132,0.617758503
CZE,Czech Republic,5213980,79880,32.00642857,10708982,32605.906,0.604081633
COD,Democratic Republic of Congo,1271391,32040,47.07265306,89561404,808.133,0.329537415
DNK,Denmark,3030088,113280,41.49792517,5792203,46682.515,0.657251701
DJI,Djibouti,781771,8006,37.07993197,988002,2705.406,0.307619048
DOM,Dominican Republic,10649646,209024,58.33571429,10847904,14600.861,0.528217687
ECU,Ecuador,14408757,1083749,55.58952381,17643060,10581.936,0.555047619
EGY,Egypt,12422845,644416,50.65221088,102334403,10550.206,0.523183673
SLV,El Salvador,2573206,71957,58.55965986,6486201,7292.458,0.460795918
EST,Estonia,445402,11802,26.46333333,1326539,29481.252,0.583629252
ETH,Ethiopia,4876417,77686,51.41353741,114963583,1729.927,0.297642857
FJI,Fiji,4742,132,12.07853741,896444,8702.975,0.183989796
FIN,Finland,1458484,58377,30.09394558,5540718,40585.721,0.635238095
FRA,France,50084335,5633444,45.56823129,65273512,38605.671,0.729380952
GAB,Gabon,1031803,6877,50.81704082,2225728,16562.413,0.499040816
GMB,Gambia,229521,7201,51.18078231,2416664,1561.767,0.327006803
GEO,Georgia,431689,4013,46.57401361,3989175,9745.079,0.517346939
DEU,Germany,42447678,1640691,43.2407483,83783945,45229.245,0.668571429
GHA,Ghana,4900649,29143,38.80088435,31072945,4227.63,0.404734694
